region_id,clinic_ids,total_availability_hours
1,[279],35.3
2,"[251, 279]",73.4
3,"[69, 191, 68, 270]",106.1
4,"[68, 69, 190, 191, 270]",148.39999999999998
5,"[68, 69, 191, 207, 270]",125.19999999999999
6,"[68, 69, 134, 191, 270]",130.4
7,"[65, 68, 69, 191, 270]",143.5
8,"[68, 69, 159, 191, 270]",138.6
9,"[68, 69, 76, 191, 270]",142.6
10,"[68, 69, 76, 190, 191, 270]",184.89999999999998
11,"[68, 69, 134, 191, 207, 270]",149.5
12,"[68, 69, 159, 191, 207, 270]",157.7
13,"[65, 68, 69, 134, 191, 270]",167.8
14,"[68, 69, 134, 159, 191, 270]",162.9
15,"[68, 69, 76, 134, 191, 270]",166.9
16,"[65, 68, 69, 159, 191, 270]",176.0
17,"[65, 68, 69, 76, 191, 270]",180.0
18,"[68, 69, 76, 159, 191, 270]",175.1
19,"[68, 69, 134, 159, 191, 207, 270]",182.0
20,"[65, 68, 69, 134, 159, 191, 270]",200.3
21,"[65, 68, 69, 76, 134, 191, 270]",204.3
22,"[68, 69, 76, 134, 159, 191, 270]",199.4
23,"[65, 68, 69, 76, 159, 191, 270]",212.5
24,"[65, 68, 69, 76, 134, 159, 191, 270]",236.8
25,[156],14.8
26,"[156, 207]",33.900000000000006
27,"[134, 156]",39.1
28,"[156, 159]",47.3
29,"[134, 156, 207]",58.2
30,"[156, 159, 207]",66.4
31,"[134, 156, 159]",71.6
32,"[134, 156, 159, 207]",90.7
33,[94],25.5
34,[251],38.1
35,"[29, 251]",55.400000000000006
36,"[20, 251]",76.4
37,"[30, 251]",60.3
38,"[29, 30, 251]",77.60000000000001
39,[29],17.3
40,"[29, 30]",39.5
41,[190],42.3
42,"[76, 190]",78.8
43,"[89, 190]",89.19999999999999
44,"[182, 187]",35.6
45,"[43, 182, 187]",63.8
46,[207],19.1
47,"[134, 207]",43.400000000000006
48,"[159, 207]",51.6
49,"[134, 159, 207]",75.9
50,[143],23.2
51,"[65, 143]",60.599999999999994
52,[134],24.3
53,"[134, 159]",56.8
54,"[76, 134]",60.8
55,[65],37.4
56,"[65, 159]",69.9
57,[56],16.8
58,"[56, 103]",48.5
59,[20],38.3
60,[90],13.5
61,"[51, 90]",25.4
62,[43],28.2
63,"[36, 43]",49.8
64,[159],32.5
65,[76],36.5
66,[263],34.4
67,[51],11.9
68,[89],46.9
69,[103],31.7
70,[260],22.0
71,[36],21.6
72,[30],22.2
73,[258],20.1
