region_id,clinic_ids,total_availability_hours
1,[279],35.3
2,"[251, 279]",73.4
3,"[148, 164, 279]",84.8
4,"[15, 279]",47.599999999999994
5,"[12, 279]",51.5
6,"[100, 279]",56.5
7,"[279, 285]",46.9
8,"[15, 148, 164, 279]",97.1
9,"[12, 148, 164, 279]",101.0
10,"[100, 148, 164, 279]",106.0
11,"[148, 164, 279, 285]",96.39999999999999
12,"[12, 15, 279]",63.8
13,"[15, 100, 279]",68.8
14,"[15, 279, 285]",59.199999999999996
15,"[12, 100, 279]",72.7
16,"[12, 279, 285]",63.1
17,"[100, 279, 285]",68.1
18,"[12, 15, 148, 164, 279]",113.3
19,"[15, 100, 148, 164, 279]",118.3
20,"[15, 148, 164, 279, 285]",108.69999999999999
21,"[12, 100, 148, 164, 279]",122.2
22,"[12, 148, 164, 279, 285]",112.6
23,"[100, 148, 164, 279, 285]",117.6
24,"[12, 15, 100, 279]",85.0
25,"[12, 15, 279, 285]",75.39999999999999
26,"[15, 100, 279, 285]",80.39999999999999
27,"[12, 100, 279, 285]",84.3
28,"[12, 15, 100, 148, 164, 279]",134.5
29,"[12, 15, 148, 164, 279, 285]",124.89999999999999
30,"[15, 100, 148, 164, 279, 285]",129.9
31,"[12, 100, 148, 164, 279, 285]",133.8
32,"[12, 15, 100, 279, 285]",96.6
33,"[12, 15, 100, 148, 164, 279, 285]",146.1
34,"[69, 191, 68, 270, 159, 267, 171, 108, 161, 67, 135]",292.7
35,"[67, 68, 69, 108, 135, 156, 159, 161, 171, 191, 267, 270]",307.5
36,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 267, 270, 286]",368.6
37,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",347.4
38,"[65, 67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270]",330.09999999999997
39,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 267, 270]",329.2
40,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",372.0
41,"[67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 267, 270]",308.3
42,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",375.6
43,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270, 274]",333.2
44,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 267, 270]",335.0
45,"[66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270]",320.3
46,"[67, 68, 69, 78, 108, 135, 159, 161, 171, 191, 267, 270]",323.5
47,"[67, 68, 69, 108, 134, 135, 156, 159, 161, 169, 171, 191, 207, 267, 270]",362.2
48,"[67, 68, 69, 104, 108, 135, 156, 159, 161, 171, 191, 267, 270]",323.1
49,"[67, 68, 69, 78, 108, 135, 156, 159, 161, 171, 191, 267, 270]",338.3
50,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 190, 191, 267, 270, 286]",405.1
51,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 250, 257, 267, 270, 286]",447.90000000000003
52,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 190, 191, 200, 267, 270, 286]",451.5
53,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 267, 270, 274, 286]",409.1
54,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 201, 267, 270, 286]",410.90000000000003
55,"[65, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",384.79999999999995
56,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",383.9
57,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",426.7
58,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",363.0
59,"[67, 68, 69, 74, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",430.29999999999995
60,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270, 274]",387.9
61,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270]",389.7
62,"[66, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",375.0
63,"[67, 68, 69, 78, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",378.2
64,"[65, 67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 267, 270]",366.59999999999997
65,"[65, 67, 68, 69, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",409.4
66,"[65, 67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 267, 270]",345.7
67,"[65, 67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",413.0
68,"[65, 67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 267, 270]",372.4
69,"[65, 66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270]",357.7
70,"[65, 67, 68, 69, 78, 108, 135, 159, 161, 171, 191, 267, 270]",360.9
71,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",408.5
72,"[67, 68, 69, 76, 104, 108, 135, 159, 161, 171, 191, 267, 270]",344.8
73,"[67, 68, 69, 74, 76, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",412.1
74,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 267, 270, 274]",369.7
75,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 201, 267, 270]",371.5
76,"[66, 67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 267, 270]",356.8
77,"[67, 68, 69, 76, 78, 108, 135, 159, 161, 171, 191, 267, 270]",360.0
78,"[67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",387.6
79,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 191, 200, 250, 257, 267, 270]",454.9
80,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 250, 257, 267, 270]",414.3
81,"[66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",399.6
82,"[67, 68, 69, 78, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",402.8
83,"[67, 68, 69, 74, 104, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",391.20000000000005
84,"[67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 267, 270, 274]",348.8
85,"[67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 201, 267, 270]",350.6
86,"[66, 67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 267, 270]",335.90000000000003
87,"[67, 68, 69, 78, 104, 108, 135, 159, 161, 171, 191, 267, 270]",339.1
88,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270, 274]",416.1
89,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 191, 200, 201, 267, 270]",417.90000000000003
90,"[66, 67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",403.20000000000005
91,"[67, 68, 69, 74, 78, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",406.40000000000003
92,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 267, 270, 274]",375.5
93,"[66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270, 274]",360.8
94,"[67, 68, 69, 78, 108, 135, 159, 161, 171, 191, 267, 270, 274]",364.0
95,"[66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 267, 270]",362.6
96,"[67, 68, 69, 78, 108, 135, 159, 161, 171, 191, 201, 267, 270]",365.8
97,"[66, 67, 68, 69, 78, 108, 135, 159, 161, 171, 191, 267, 270]",351.1
98,"[67, 68, 69, 104, 108, 134, 135, 156, 159, 161, 169, 171, 191, 207, 267, 270]",377.8
99,"[67, 68, 69, 78, 108, 134, 135, 156, 159, 161, 169, 171, 191, 207, 267, 270]",393.0
100,"[67, 68, 69, 78, 104, 108, 135, 156, 159, 161, 171, 191, 267, 270]",353.90000000000003
101,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 190, 191, 250, 257, 267, 270, 286]",484.40000000000003
102,"[67, 68, 69, 74, 76, 108, 135, 159, 161, 163, 171, 190, 191, 200, 267, 270, 286]",488.0
103,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 190, 191, 267, 270, 274, 286]",445.6
104,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 190, 191, 201, 267, 270, 286]",447.40000000000003
105,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 190, 191, 200, 250, 257, 267, 270, 286]",530.8000000000001
106,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 201, 250, 257, 267, 270, 286]",490.20000000000005
107,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 190, 191, 200, 267, 270, 274, 286]",492.0
108,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 190, 191, 200, 201, 267, 270, 286]",493.8
109,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 201, 267, 270, 274, 286]",451.40000000000003
110,"[65, 67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",421.29999999999995
111,"[65, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",464.09999999999997
112,"[65, 67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",400.4
113,"[65, 67, 68, 69, 74, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",467.69999999999993
114,"[65, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270]",427.09999999999997
115,"[65, 66, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",412.4
116,"[65, 67, 68, 69, 78, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",415.59999999999997
117,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",463.2
118,"[67, 68, 69, 76, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",399.5
119,"[67, 68, 69, 74, 76, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",466.79999999999995
120,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270, 274]",424.4
121,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270]",426.2
122,"[66, 67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",411.5
123,"[67, 68, 69, 76, 78, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",414.7
124,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",442.3
125,"[67, 68, 69, 74, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 250, 257, 267, 270]",509.6
126,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 250, 257, 267, 270]",469.0
127,"[66, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",454.3
128,"[67, 68, 69, 78, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",457.5
129,"[67, 68, 69, 74, 104, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",445.9
130,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270, 274]",403.5
131,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270]",405.3
132,"[66, 67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",390.6
133,"[67, 68, 69, 78, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",393.8
134,"[67, 68, 69, 74, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270, 274]",470.79999999999995
