region_id,clinic_ids,total_availability_hours
1,[279],35.3
2,"[251, 279]",73.4
3,"[148, 164, 279]",84.8
4,"[15, 279]",47.599999999999994
5,"[12, 279]",51.5
6,"[100, 279]",56.5
7,"[15, 148, 164, 279]",97.1
8,"[12, 148, 164, 279]",101.0
9,"[100, 148, 164, 279]",106.0
10,"[12, 15, 279]",63.8
11,"[15, 100, 279]",68.8
12,"[12, 100, 279]",72.7
13,"[12, 15, 148, 164, 279]",113.3
14,"[15, 100, 148, 164, 279]",118.3
15,"[12, 100, 148, 164, 279]",122.2
16,"[12, 15, 100, 279]",85.0
17,"[12, 15, 100, 148, 164, 279]",134.5
18,"[69, 191, 68, 270, 159, 267, 171, 108, 161, 67, 135]",292.7
19,"[67, 68, 69, 108, 135, 156, 159, 161, 171, 191, 267, 270]",307.5
20,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 267, 270, 286]",368.6
21,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",347.4
22,"[65, 67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270]",330.09999999999997
23,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 267, 270]",329.2
24,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",372.0
25,"[67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 267, 270]",308.3
26,"[67, 68, 69, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",355.2
27,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270, 274]",333.2
28,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 267, 270]",335.0
29,"[67, 68, 69, 74, 108, 135, 159, 161, 171, 191, 267, 270]",313.09999999999997
30,"[66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270]",320.3
31,"[67, 68, 69, 108, 134, 135, 156, 159, 161, 169, 171, 191, 207, 267, 270]",362.2
32,"[67, 68, 69, 104, 108, 135, 156, 159, 161, 171, 191, 267, 270]",323.1
33,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 190, 191, 267, 270, 286]",405.1
34,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 250, 257, 267, 270, 286]",447.90000000000003
35,"[67, 68, 69, 108, 135, 159, 161, 163, 171, 190, 191, 200, 267, 270, 286]",431.1
36,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 267, 270, 274, 286]",409.1
37,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 201, 267, 270, 286]",410.90000000000003
38,"[67, 68, 69, 74, 108, 135, 159, 161, 171, 190, 191, 267, 270, 286]",389.0
39,"[65, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",384.79999999999995
40,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",383.9
41,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",426.7
42,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",363.0
43,"[67, 68, 69, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",409.9
44,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270, 274]",387.9
45,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270]",389.7
46,"[67, 68, 69, 74, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",367.79999999999995
47,"[66, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",375.0
48,"[65, 67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 267, 270]",366.59999999999997
49,"[65, 67, 68, 69, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",409.4
50,"[65, 67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 267, 270]",345.7
51,"[65, 67, 68, 69, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",392.59999999999997
52,"[65, 67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 267, 270]",372.4
53,"[65, 67, 68, 69, 74, 108, 135, 159, 161, 171, 191, 267, 270]",350.49999999999994
54,"[65, 66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270]",357.7
55,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",408.5
56,"[67, 68, 69, 76, 104, 108, 135, 159, 161, 171, 191, 267, 270]",344.8
57,"[67, 68, 69, 76, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",391.7
58,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 267, 270, 274]",369.7
59,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 201, 267, 270]",371.5
60,"[67, 68, 69, 74, 76, 108, 135, 159, 161, 171, 191, 267, 270]",349.59999999999997
61,"[66, 67, 68, 69, 76, 108, 135, 159, 161, 171, 191, 267, 270]",356.8
62,"[67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",387.6
63,"[67, 68, 69, 108, 135, 159, 161, 163, 171, 191, 200, 250, 257, 267, 270]",434.5
64,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 250, 257, 267, 270]",414.3
65,"[67, 68, 69, 74, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",392.4
66,"[66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 250, 257, 267, 270]",399.6
67,"[67, 68, 69, 104, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",370.8
68,"[67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 267, 270, 274]",348.8
69,"[67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 201, 267, 270]",350.6
70,"[67, 68, 69, 74, 104, 108, 135, 159, 161, 171, 191, 267, 270]",328.7
71,"[66, 67, 68, 69, 104, 108, 135, 159, 161, 171, 191, 267, 270]",335.90000000000003
72,"[67, 68, 69, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270, 274]",395.7
73,"[67, 68, 69, 108, 135, 159, 161, 163, 171, 191, 200, 201, 267, 270]",397.5
74,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",375.59999999999997
75,"[66, 67, 68, 69, 108, 135, 159, 161, 163, 171, 191, 200, 267, 270]",382.8
76,"[67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 267, 270, 274]",375.5
77,"[67, 68, 69, 74, 108, 135, 159, 161, 171, 191, 267, 270, 274]",353.59999999999997
78,"[66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 267, 270, 274]",360.8
79,"[67, 68, 69, 74, 108, 135, 159, 161, 171, 191, 201, 267, 270]",355.4
80,"[66, 67, 68, 69, 108, 135, 159, 161, 171, 191, 201, 267, 270]",362.6
81,"[66, 67, 68, 69, 74, 108, 135, 159, 161, 171, 191, 267, 270]",340.7
82,"[67, 68, 69, 104, 108, 134, 135, 156, 159, 161, 169, 171, 191, 207, 267, 270]",377.8
83,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 190, 191, 250, 257, 267, 270, 286]",484.40000000000003
84,"[67, 68, 69, 76, 108, 135, 159, 161, 163, 171, 190, 191, 200, 267, 270, 286]",467.6
85,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 190, 191, 267, 270, 274, 286]",445.6
86,"[67, 68, 69, 76, 108, 135, 159, 161, 171, 190, 191, 201, 267, 270, 286]",447.40000000000003
87,"[67, 68, 69, 74, 76, 108, 135, 159, 161, 171, 190, 191, 267, 270, 286]",425.5
88,"[67, 68, 69, 108, 135, 159, 161, 163, 171, 190, 191, 200, 250, 257, 267, 270, 286]",510.40000000000003
89,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 201, 250, 257, 267, 270, 286]",490.20000000000005
90,"[67, 68, 69, 74, 108, 135, 159, 161, 171, 190, 191, 250, 257, 267, 270, 286]",468.3
91,"[67, 68, 69, 108, 135, 159, 161, 163, 171, 190, 191, 200, 267, 270, 274, 286]",471.6
92,"[67, 68, 69, 108, 135, 159, 161, 163, 171, 190, 191, 200, 201, 267, 270, 286]",473.40000000000003
93,"[67, 68, 69, 74, 108, 135, 159, 161, 163, 171, 190, 191, 200, 267, 270, 286]",451.5
94,"[67, 68, 69, 108, 135, 159, 161, 171, 190, 191, 201, 267, 270, 274, 286]",451.40000000000003
95,"[67, 68, 69, 74, 108, 135, 159, 161, 171, 190, 191, 267, 270, 274, 286]",429.5
96,"[67, 68, 69, 74, 108, 135, 159, 161, 171, 190, 191, 201, 267, 270, 286]",431.3
97,"[65, 67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",421.29999999999995
98,"[65, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",464.09999999999997
99,"[65, 67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",400.4
100,"[65, 67, 68, 69, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",447.29999999999995
101,"[65, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270]",427.09999999999997
102,"[65, 67, 68, 69, 74, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",405.19999999999993
103,"[65, 66, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",412.4
104,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",463.2
105,"[67, 68, 69, 76, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",399.5
106,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",446.4
107,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270, 274]",424.4
108,"[67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270]",426.2
109,"[67, 68, 69, 74, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",404.29999999999995
110,"[66, 67, 68, 69, 76, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",411.5
111,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",442.3
112,"[67, 68, 69, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 250, 257, 267, 270]",489.2
113,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 250, 257, 267, 270]",469.0
114,"[67, 68, 69, 74, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",447.09999999999997
115,"[66, 67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 207, 250, 257, 267, 270]",454.3
116,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",425.5
117,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270, 274]",403.5
118,"[67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270]",405.3
119,"[67, 68, 69, 74, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",383.4
120,"[66, 67, 68, 69, 104, 108, 134, 135, 159, 161, 169, 171, 191, 207, 267, 270]",390.6
121,"[67, 68, 69, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270, 274]",450.4
122,"[67, 68, 69, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 201, 207, 267, 270]",452.2
123,"[67, 68, 69, 74, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",430.29999999999995
124,"[66, 67, 68, 69, 108, 134, 135, 159, 161, 163, 169, 171, 191, 200, 207, 267, 270]",437.5
125,"[67, 68, 69, 108, 134, 135, 159, 161, 169, 171, 191, 201, 207, 267, 270, 274]",430.2
