latitude,longitude,assigned_date,postal_code
51.4362799,0.49457,2024-01-10 16:30:00,ME3 8GZ
53.79458,-1.73702,2024-01-10 13:30:00,BD3 9JT
55.39269,-1.63241,2024-01-10 18:45:00,NE66 3PZ
54.53579,-1.5612,2024-01-10 15:00:00,DL3 6QU
55.84359,-4.22557,2024-01-10 15:00:00,G40 4BW
54.0156292,-0.3916342,2024-01-10 12:00:00,YO25 4LJ
53.7928872,-1.3885746,2024-01-10 17:15:00,LS25 1DS
53.3649,-0.8539,2024-01-10 18:45:00,DN22 9EG
55.7707106,-4.0355876,2024-01-10 10:30:00,ML3 7JF
51.58121,0.41737,2024-01-10 12:00:00,SS15 6HT
51.5613918,-2.6657104,2024-01-10 12:00:00,BS35 4PQ
54.97435,-1.6248499,2024-01-10 09:45:00,NE4 5TH
52.0982399,-0.29003,2024-01-10 09:45:00,SG18 9FZ
53.168884,-0.6011216,2024-01-10 10:30:00,LN6 9PG
51.85897,-2.21178,2024-01-10 11:15:00,GL4 3AL
53.58612,-2.09816,2024-01-10 16:30:00,OL2 7QE
51.2795,-1.12261,2024-01-10 11:15:00,RG24 9SG
55.246975,-4.8525144,2024-01-10 15:00:00,KA26 9HF
50.8827419,0.4292724,2024-01-10 18:00:00,TN33 9EE
51.27593,1.07237,2024-01-10 17:15:00,CT1 2SW
52.290479,-0.2319789,2024-01-10 10:30:00,PE19 5TQ
54.5951,-1.01289,2024-01-10 09:00:00,TS11 7AQ
53.72206,-1.80955,2024-01-10 17:15:00,HX3 8FX
53.70417,-1.5986499,2024-01-10 13:30:00,WF12 7SN
54.87255,-2.89452,2024-01-10 09:00:00,CA1 3HR
53.6109033,-1.0101274,2024-01-10 09:00:00,DN7 5JN
55.04893,-1.62379,2024-01-10 09:00:00,NE13 6LW
52.0616,-0.74456,2024-01-10 11:15:00,MK15 8AE
53.38322,-2.93179,2024-01-10 10:30:00,L17 1AJ
51.58285,0.48124,2024-01-10 14:15:00,SS14 2PB
53.7036042,-0.868054,2024-01-10 15:00:00,DN14 5EF
51.61801,-0.77171,2024-01-10 16:30:00,HP12 3NQ
53.0906,-3.00226,2024-01-10 09:45:00,LL12 0RP
54.7908379,-1.5258704,2024-01-10 15:00:00,DH1 1AT
52.27868,-0.86376,2024-01-10 12:45:00,NN3 7LB
52.31785,-0.83163,2024-01-10 14:15:00,NN6 9SN
56.96611,-2.21024,2024-01-10 12:45:00,AB39 2DB
53.40043,-2.92387,2024-01-10 18:00:00,L15 4HZ
52.6585197,1.207948,2024-01-10 16:30:00,NR8 5AG
52.9618326,-1.3016927,2024-01-10 18:45:00,DE7 5AP
53.1927453,-2.8945388,2024-01-10 13:30:00,CH1 2AH
50.41523,-4.96461,2024-01-10 12:45:00,TR8 4LP
52.04481,-0.83834,2024-01-10 18:45:00,MK11 4BZ
52.29055,-0.83374,2024-01-10 09:45:00,NN6 0SH
51.92868,0.24591,2024-01-10 14:15:00,CM22 6AF
54.89163,-1.40493,2024-01-10 14:15:00,SR3 1UT
51.30081,0.44061,2024-01-10 17:15:00,ME20 6QN
53.09416,-3.08552,2024-01-10 14:15:00,LL11 5HY
52.24136,-0.8675,2024-01-10 16:30:00,NN1 5LS
51.54236,0.72257,2024-01-10 14:15:00,SS2 5JH
53.1587,-3.13797,2024-01-10 16:30:00,CH7 1JG
51.54717,0.57153,2024-01-10 17:15:00,SS7 1LL
51.96003,-1.23281,2024-01-10 15:45:00,OX27 7AF
51.4367699,-2.6053808,2024-01-10 15:45:00,BS3 3AN
