id,name,postcode,latitude,longitude,phone_number,active,email,only_impressions,dentist_user_id,hubspot_id,signed_sla,eon_dentist_id,created_at,updated_at,gdc_number,aligner_provider,can_provide_elastics,key_account_manager_id,notes,receiving_cases,weekly_availability_hours,postcode_area
46,S Dental Studio,OX3 7BX,51.7583562,-1.2100528,+44 1865 760000,1,hello@sdentalstudio.com,0,155.0,4168735.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,84646,EON,0,511.0,,1,18.0,OX
8,Mount Parade Dental,HG1 1BX,53.9952427,-1.5396525,7533642323,1,info@mountparadedental.co.uk,0,146.0,473055.0,,,2025-01-23 12:00:34.557251,2025-04-30 08:58:44.697945,70966,EON,0,603.0,,1,39.3,HG
95,Marketgate Dental Practice,LA1    1RQ,54.0470691,-2.8011801,+44 015 243 263,1,drsaadafzal@yahoo.com,0,50.0,28947749622.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,20.9,LA
92,Eyespy Eye and Dental Care,E11      3AW,51.614881,-0.1762917,02036382768,1,eyespydentalcare@yahoo.com,0,53.0,22053506761.0,,,2025-01-23 12:00:34.557251,2025-04-07 08:37:23.048416,283645,EON,0,460.0,,1,11.8,E1
287,Cove Bay Smile Centre,AB12 3PT,57.1022858,-2.0809034,07774381628,1,drramandeepmann@gmail.com,0,635.0,289453904108.0,,,2025-05-12 16:26:55.436305,2025-05-12 16:26:55.436336,274616,EON,0,274.0,,1,37.1,AB
54,Mouth Peace Dental Practice,BH20 6DW,50.6764887,-2.2295615,01929 462269,1,pascal8pinto@gmail.com,0,164.0,27589806828.0,,,2025-01-23 12:00:34.557251,2025-05-09 13:36:41.698678,285238,EON,0,603.0,,1,34.3,BH
171,Revive Clinic Bayswater,W23RL,51.5128696,-0.1873639,02072296248,1,Info@queenswaydentalpractice.com,0,343.0,4165918.0,,,2025-01-23 12:00:34.557251,2025-04-24 09:13:04.064634,302795,EON,0,511.0,,1,35.5,W2
242,ZUF Dental Care,B93 8DD,52.3741598,-1.7540462,01215921414,1,admin@zufdentalcare.com,0,508.0,234698286312.0,,,2025-03-21 10:30:19.804705,2025-03-21 10:30:19.804736,86151,EON,0,274.0,,1,18.9,B9
163,Ecladent Clinics,Nw7 2JY,51.6137809,-0.2470891,02089599392,1,ecladent@live.com,0,330.0,4166771.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,30.9,Nw
255,Dairy Lane Dental Practice,DH4 5BH,54.8413153,-1.4754934,0191 5121345,1,michelledairylane@gmail.com,0,542.0,257968033016.0,,,2025-04-14 10:47:32.717552,2025-05-14 10:08:09.147165,192094,KLINE,0,603.0,,1,24.5,DH
40,Allsaints Dental Clinic,B14 7RA,52.4317418,-1.8956574,7929026852,1,allsaintspatientcare@gmail.com,0,163.0,27592448999.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,150307,EON,0,460.0,,1,15.6,B1
